EURUSD,202605010124,1.172480,1.172490,1.172440,1.172440,0
EURUSD,202605010125,1.172440,1.172440,1.172400,1.172420,0
EURUSD,202605010126,1.172440,1.172470,1.172420,1.172440,0
EURUSD,202605010127,1.172440,1.172460,1.172420,1.172460,0
EURUSD,202605010128,1.172460,1.172480,1.172430,1.172470,0
EURUSD,202605010129,1.172450,1.172480,1.172420,1.172430,0
EURUSD,202605010130,1.172420,1.172460,1.172410,1.172430,0
EURUSD,202605010131,1.172430,1.172440,1.172410,1.172420,0
EURUSD,202605010132,1.172420,1.172440,1.172390,1.172440,0
EURUSD,202605010133,1.172440,1.172500,1.172440,1.172490,0
EURUSD,202605010134,1.172500,1.172540,1.172490,1.172530,0
EURUSD,202605010135,1.172530,1.172530,1.172490,1.172490,0
EURUSD,202605010136,1.172490,1.172490,1.172430,1.172480,0
EURUSD,202605010137,1.172500,1.172510,1.172440,1.172480,0
EURUSD,202605010138,1.172480,1.172490,1.172440,1.172440,0
EURUSD,202605010139,1.172420,1.172470,1.172420,1.172470,0
EURUSD,202605010140,1.172470,1.172470,1.172400,1.172430,0
EURUSD,202605010141,1.172430,1.172540,1.172430,1.172480,0
EURUSD,202605010142,1.172500,1.172540,1.172500,1.172530,0
EURUSD,202605010143,1.172540,1.172610,1.172470,1.172520,0
EURUSD,202605010144,1.172530,1.172570,1.172520,1.172520,0
EURUSD,202605010145,1.172510,1.172510,1.172410,1.172420,0
EURUSD,202605010146,1.172420,1.172440,1.172410,1.172420,0
EURUSD,202605010147,1.172450,1.172460,1.172420,1.172440,0
EURUSD,202605010148,1.172480,1.172480,1.172470,1.172470,0
EURUSD,202605010149,1.172480,1.172490,1.172470,1.172490,0
EURUSD,202605010150,1.172470,1.172480,1.172440,1.172480,0
EURUSD,202605010151,1.172460,1.172470,1.172370,1.172430,0
EURUSD,202605010152,1.172400,1.172410,1.172340,1.172360,0
EURUSD,202605010153,1.172370,1.172380,1.172320,1.172320,0
EURUSD,202605010154,1.172320,1.172320,1.172270,1.172300,0
EURUSD,202605010155,1.172290,1.172290,1.172240,1.172270,0
EURUSD,202605010156,1.172270,1.172320,1.172250,1.172250,0
EURUSD,202605010157,1.172240,1.172240,1.172170,1.172170,0
EURUSD,202605010158,1.172180,1.172230,1.172160,1.172210,0
EURUSD,202605010159,1.172220,1.172250,1.172180,1.172220,0
EURUSD,202605010200,1.172270,1.172400,1.172230,1.172360,0
EURUSD,202605010201,1.172370,1.172400,1.172270,1.172390,0
EURUSD,202605010202,1.172390,1.172410,1.172330,1.172360,0
EURUSD,202605010203,1.172360,1.172370,1.172300,1.172330,0
EURUSD,202605010204,1.172350,1.172350,1.172230,1.172230,0
EURUSD,202605010205,1.172240,1.172240,1.172120,1.172220,0
EURUSD,202605010206,1.172210,1.172240,1.172130,1.172230,0
EURUSD,202605010207,1.172220,1.172410,1.172220,1.172350,0
EURUSD,202605010208,1.172350,1.172350,1.172240,1.172270,0
EURUSD,202605010209,1.172260,1.172310,1.172230,1.172280,0
EURUSD,202605010210,1.172270,1.172290,1.172210,1.172270,0
EURUSD,202605010211,1.172280,1.172280,1.172180,1.172180,0
EURUSD,202605010212,1.172190,1.172250,1.172180,1.172230,0
EURUSD,202605010213,1.172240,1.172240,1.172170,1.172190,0
EURUSD,202605010214,1.172170,1.172230,1.172170,1.172190,0
EURUSD,202605010215,1.172190,1.172270,1.172190,1.172220,0
EURUSD,202605010216,1.172210,1.172250,1.172130,1.172200,0
EURUSD,202605010217,1.172200,1.172210,1.172110,1.172150,0
EURUSD,202605010218,1.172150,1.172210,1.172130,1.172210,0
EURUSD,202605010219,1.172190,1.172190,1.172050,1.172070,0
EURUSD,202605010220,1.172080,1.172090,1.172030,1.172060,0
EURUSD,202605010221,1.172050,1.172080,1.172030,1.172040,0
EURUSD,202605010222,1.172010,1.172160,1.171950,1.172140,0
EURUSD,202605010223,1.172160,1.172180,1.172100,1.172100,0
